业精于勤	ye jing yu qin
业荒于嬉	ye huang yu xi
东倒西歪	dong dao xi wai
东兔西乌	dong tu xi wu
东奔西走	dong ben xi zou
东奔西跑	dong ben xi pao
东家长西家短	dong jia chang xi jia duan
东山再起	dong shan zai qi
东张西望	dong zhang xi wang
东征西怨	dong zheng xi yuan
东征西讨	dong zheng xi tao
东拉西扯	dong la xi che
东拼西凑	dong pin xi cou
东掩西遮	dong yan xi zhe
东摇西摆	dong yao xi bai
东方不亮西方亮	dong fang bu liang xi fang liang
东施效颦	dong shi xiao pin
东窗事发	dong chuang shi fa
东讨西征	dong tao xi zheng
东风压倒西风	dong feng ya dao xi feng
东鳞西爪	dong lin xi zhao
丝毫不差	si hao bu cha
丝竹管弦	si zhu guan xian
丢盔弃甲	diu kui qi jia
丢轮扯炮	diu lun che pao
两全其美	liang quan qi mei
两国相争不斩来使	liang guo xiang zheng bu zhan lai shi
两手空空	liang shou kong kong
两肋插刀	liang lei cha dao
两虎相争	liang hu xiang zheng
两虎相争必有一伤	liang hu xiang zheng bi you yi shang
两袖清风	liang xiu qing feng
两败俱伤	liang bai ju shang
两面三刀	liang mian san dao
两鬓斑白	liang bin ban bai
严丝合缝	yan si he feng
严以律己	yan yi lv ji
严惩不贷	yan cheng bu dai
丧天害理	sang tian hai li
丧家之犬	sang jia zhi quan
丧尽天良	sang jin tian liang
丧心病狂	sang xin bing kuang
丧权辱国	sang quan ru guo
丧魂失魄	sang hun shi po
丧魂落魄	sang hun luo po
中箭落马	zhong jian luo ma
中西合璧	zhong xi he bi
丰功伟绩	feng gong wei ji
丰衣足食	feng yi zu shi
串亲访友	chuan qin fang you
串通一气	chuan tong yi qi
临危受命	lin wei shou ming
临时抱佛脚	lin shi bao fo jiao
临渊羡鱼不如退而结网	lin yuan xian yu bu ru tui er jie wang
临渴掘井	lin ke jue jing
临渴穿井	lin ke chuan jing
临阵磨枪	lin zhen mo qiang
临阵退缩	lin zhen tui suo
为人师表	wei ren shi biao
为仁不富	wei ren bu fu
为善最乐	wei shan zui le
为富不仁	wei fu bu ren
为德不卒	wei de bu zu
为德不终	wei de bu zhong
为所欲为	wei suo yu wei
为时不晚	wei shi bu wan
为时未晚	wei shi wei wan
为民除害	wei min chu hai
为虎作伥	wei hu zuo chang
为非作歹	wei fei zuo dai
举一反三	ju yi fan san
举不胜举	ju bu sheng ju
举世无双	ju shi wu shuang
举世闻名	ju shi wen ming
举手之劳	ju shou zhi lao
举手投足	ju shou tou zu
举案齐眉	ju an qi mei
举棋不定	ju qi bu ding
举步维艰	ju bu wei jian
举目无亲	ju mu wu qin
举足轻重	ju zu qing zhong
久仰大名	jiu yang da ming
久病成良医	jiu bing cheng liang yi
久经考验	jiu jing kao yan
义不容辞	yi bu rong ci
义愤填胸	yi fen tian xiong
义愤填膺	yi fen tian ying
义无反顾	yi wu fan gu
义正辞严	yi zheng ci yan
之乎者也	zhi hu zhe ye
乌七八糟	wu qi ba zao
乌合之众	wu he zhi zhong
乌烟瘴气	wu yan zhang qi
乌鸟私情	wu niao si qing
乍暖还寒	zha nuan huan han
乏善可陈	fa shan ke chen
乐不可支	le bu ke zhi
乐不可极	le bu ke ji
乐不思蜀	le bu si shu
乐于助人	le yu zhu ren
乐在其中	le zai qi zhong
乐昌破镜	le chang po jing
乐极生悲	le ji sheng bei
乐此不疲	le ci bu pi
乔装打扮	qiao zhuang da ban
乔迁之喜	qiao qian zhi xi
乘人不备	cheng ren bu bei
乘虚而入	cheng xu er ru
乘风破浪	cheng feng po lang
九天仙女	jiu tian xian nv
九天揽月	jiu tian lan yue
九死一生	jiu si yi sheng
九牛一毛	jiu niu yi mao
九牛二虎之力	jiu niu er hu zhi li
九霄云外	jiu xiao yun wai
乞哀告怜	qi ai gao lian
书不尽言	shu bu jin yan
书香门第	shu xiang men di
买椟还珠	mai du huan zhu
买笑追欢	mai xiao zhui huan
乱七八糟	luan qi ba zao
乱臣贼子	luan chen zei zi
乳臭未干	ru xiu wei gan
了如指掌	liao ru zhi zhang
了无生趣	liao wu sheng qu
了然于胸	liao ran yu xiong
争先恐后	zheng xian kong hou
争分夺秒	zheng fen duo miao
争名夺利	zheng ming duo li
争斤论两	zheng jin lun liang
争权夺利	zheng quan duo li
争长论短	zheng chang lun duan
事不关己	shi bu guan ji
事不关己高高挂起	shi bu guan ji gao gao gua qi
事不过三	shi bu guo san
事与愿违	shi yu yuan wei
事倍功半	shi bei gong ban
事到临头	shi dao lin tou
事半功倍	shi ban gong bei
事危累卵	shi wei lei luan
事后聪明	shi hou cong ming
事在人为	shi zai ren wei
事实胜于雄辩	shi shi sheng yu xiong bian
事怕行家	shi pa hang jia
事无巨细	shi wu ju xi
事过境迁	shi guo jing qian
二话不说	er hua bu shuo
云山雾罩	yun shan wu zhao
云散风流	yun san feng liu
云泥之别	yun ni zhi bie
云消雾散	yun xiao wu san
云窗雾槛	yun chuang wu kan
互为因果	hu wei yin guo
互相推诿	hu xiang tui wei
互诉衷肠	hu su zhong chang
互通有无	hu tong you wu
五体投地	wu ti tou di
五光十色	wu guang shi se
五十步笑百步	wu shi bu xiao bai bu
五味俱全	wu wei ju quan
五味杂陈	wu wei za chen
五彩缤纷	wu cai bin fen
五色缤纷	wu se bin fen
五马分尸	wu ma fen shi
井井有条	jing jing you tiao
井底之蛙	jing di zhi wa
井然有序	jing ran you xu
井蛙之见	jing wa zhi jian
亘古不变	gen gu bu bian
亡命之徒	wang ming zhi tu
亡国灭种	wang guo mie zhong
亡羊补牢	wang yang bu lao
交口称誉	jiao kou cheng yu
交浅言深	jiao qian yan shen
亦敌亦友	yi di yi you
亦步亦趋	yi bu yi qu
亭亭玉立	ting ting yu li
亲临其境	qin lin qi jing
亲兄弟明算帐	qin xiong di ming suan zhang
亲如一家	qin ru yi jia
亲如手足	qin ru shou zu
亲密无间	qin mi wu jian
亲疏贵贱	qin shu gui jian
人丁兴旺	ren ding xing wang
人不可貌相	ren bu ke mao xiang
人不可貌相海水不可斗量	ren bu ke mao xiang hai shui bu ke dou liang
人中龙凤	ren zhong long feng
人为刀俎我为鱼肉	ren wei dao zu wo wei yu rou
人为财死鸟为食亡	ren wei cai si niao wei shi wang
人之常情	ren zhi chang qing
人云亦云	ren yun yi yun
人五人六	ren wu ren liu
人仰马翻	ren yang ma fan
人去楼空	ren qu lou kong
人命关天	ren ming guan tian
人喊马嘶	ren han ma si
人困马乏	ren kun ma fa
人声鼎沸	ren sheng ding fei
人外有人天外有天	ren wai you ren tian wai you tian
人多势众	ren duo shi zhong
人如其名	ren ru qi ming
人定胜天	ren ding sheng tian
人寿年丰	ren shou nian feng
人尽可夫	ren jin ke fu
人山人海	ren shan ren hai
人往高处走水往低处流	ren wang gao chu zou shui wang di chu liu
人微言轻	ren wei yan qing
人心不古	ren xin bu gu
人心不足蛇吞象	ren xin bu zu she tun xiang
人心惶惶	ren xin huang huang
人心隔肚皮	ren xin ge du pi
人心难测	ren xin nan ce
人才济济	ren cai ji ji
人无远虑必有近忧	ren wu yuan lv bi you jin you
人是铁饭是钢	ren shi tie fan shi gang
人有失手马有失蹄	ren you shi shou ma you shi ti
人来人往	ren lai ren wang
人杰地灵	ren jie di ling
人模狗样	ren mu gou yang
人浮于事	ren fu yu shi
人烟稀少	ren yan xi shao
人烟稠密	ren yan chou mi
人琴俱亡	ren qin ju wang
人生一世草木一春	ren sheng yi shi cao mu yi chun
人生何处不相逢	ren sheng he chu bu xiang feng
人生地不熟	ren sheng di bu shu
人生如朝露	ren sheng ru zhao lu
人生如梦	ren sheng ru meng
人生朝露	ren sheng zhao lu
人穷志不穷	ren qiong zhi bu qiong
人算不如天算	ren suan bu ru tian suan
人给家足	ren ji jia zu
人言可畏	ren yan ke wei
人言啧啧	ren yan ze ze
人言籍籍	ren yan ji ji
人谁无过	ren shei wu guo
人财两空	ren cai liang kong
人走茶凉	ren zou cha liang
人迹罕至	ren ji han zhi
人间地狱	ren jian di yu
人面兽心	ren mian shou xin
什么风把你吹来的	shen me feng ba ni chui lai de
仁义道德	ren yi dao de
仁人义士	ren ren yi shi
仁人君子	ren ren jun zi
仁人志士	ren ren zhi shi
仁心仁术	ren xin ren shu
仁民爱物	ren min ai wu
仁者见仁智者见智	ren zhe jian ren zhi zhe jian zhi
仁至义尽	ren zhi yi jin
仁言利博	ren yan li bo
仅此而已	jin ci er yi
仇人相见分外眼红	chou ren xiang jian fen wai yan hong
今日事今日毕	jin ri shi jin ri bi
今朝有酒今朝醉	jin zhao you jiu jin zhao zui
今非昔比	jin fei xi bi
从中作梗	cong zhong zuo geng
从井救人	cong jing jiu ren
从善如流	cong shan ru liu
从善如登从恶如崩	cong shan ru deng cong e ru beng
从天而降	cong tian er jiang
从谏如流	cong jian ru liu
从长计议	cong chang ji yi
仓皇出逃	cang huang chu tao
他乡遇故知	ta xiang yu gu zhi
他山之石可以攻玉	ta shan zhi shi ke yi gong yu
仗义执言	zhang yi zhi yan
仗义疏财	zhang yi shu cai
仗势欺人	zhang shi qi ren
付之一叹	fu zhi yi tan
付之一炬	fu zhi yi ju
付之一笑	fu zhi yi xiao
付之丙丁	fu zhi bing ding
付之东流	fu zhi dong liu
付之度外	fu zhi du wai
付诸实施	fu zhu shi shi
仙姿玉色	xian zi yu se
代代相传	dai dai xiang chuan
令人发指	ling ren fa zhi
令人瞩目	ling ren zhu mu
令行禁止	ling xing jin zhi
以一驭万	yi yi yu wan
以不变应万变	yi bu bian ying wan bian
以人废言	yi ren fei yan
以债养债	yi zhai yang zhai
以假乱真	yi jia luan zhen
以儆效尤	yi jing xiao you
以其人之道还治其人之身	yi qi ren zhi dao huan zhi qi ren zhi shen
以卵击石	yi luan ji shi
以史为鉴	yi shi wei jian
以夷制夷	yi yi zhi yi
以子之矛攻子之盾	yi zi zhi mao gong zi zhi dun
以小人之心度君子之腹	yi xiao ren zhi xin duo jun zi zhi fu
以少胜多	yi shao sheng duo
以弱胜强	yi ruo sheng qiang
以强凌弱	yi qiang ling ruo
以德报怨	yi de bao yuan
以慎为键	yi shen wei jian
以权谋私	yi quan mou si
以柔克刚	yi rou ke gang
以正视听	yi zheng shi ting
以汤沃沸	yi tang wo fei
以泪洗面	yi lei xi mian
以直报怨以德报德	yi zhi bao yuan yi de bao de
以眼还眼	yi yan huan yan
以眼还眼以牙还牙	yi yan huan yan yi ya huan ya
以示警戒	yi shi jing jie
以礼相待	yi li xiang dai
以虚带实	yi xu dai shi
以言代法	yi yan dai fa
以言代法以权压法	yi yan dai fa yi quan ya fa
以讹传讹	yi e chuan e
以貌取人	yi mao qu ren
以资证明	yi zi zheng ming
以身作则	yi shen zuo ze
以身报国	yi shen bao guo
以身许国	yi shen xu guo
以身试法	yi shen shi fa
以逸待劳	yi yi dai lao
以邻为壑	yi lin wei he
以防万一	yi fang wan yi
仰人鼻息	yang ren bi xi
仰屋著书	yang wu zhu shu
价廉物美	jia lian wu mei
任人唯亲	ren ren wei qin
任人唯贤	ren ren wei xian
任人宰割	ren ren zai ge
任其自然	ren qi zi ran
任凭风浪起稳坐钓鱼台	ren ping feng lang qi wen zuo diao yu tai
任劳任怨	ren lao ren yuan
任贤使能	ren xian shi neng
伏龙凤雏	fu long feng chu
休戚相关	xiu qi xiang guan
众叛亲离	zhong pan qin li
众口同声	zhong kou tong sheng
众口铄金	zhong kou shuo jin
众口难调	zhong kou nan tiao
众寡悬殊	zhong gua xuan shu
众志成城	zhong zhi cheng cheng
众怒难犯	zhong nu nan fan
众所周知	zhong suo zhou zhi
众擎易举	zhong qing yi ju
众星拱辰	zhong xing gong chen
众星捧月	zhong xing peng yue
众望所归	zhong wang suo gui
众目昭彰	zhong mu zhao zhang
众目睽睽	zhong mu kui kui
众盲摸象	zhong mang mo xiang
众矢之的	zhong shi zhi di
众说纷揉	zhong shuo fen rou
众说纷纭	zhong shuo fen yun
优游自得	you you zi de
优胜劣汰	you sheng lie tai
会哭的孩子有奶吃	hui ku de hai zi you nai chi
会哭的孩子有糖吃	hui ku de hai zi you tang chi
伤及无辜	shang ji wu gu
伤天害理	shang tian hai li
伤心惨目	shang xin can mu
伤心欲绝	shang xin yu jue
伤筋动骨	shang jin dong gu
